request_id,position,layer,expert_id,router_rank,projection,method,auc_0_2
tfprod-req000098-00e89186,176,20,72,2,down,generalized,0.10025890822031641
tfprod-req000098-00e89186,176,20,72,2,down,learned_s11,0.150531417549082
tfprod-req000098-00e89186,176,20,72,2,down,learned_s29,0.2590803110105865
tfprod-req000098-00e89186,176,20,72,2,down,learned_s47,0.38411093416829434
tfprod-req000098-00e89186,176,20,72,2,down,native,0.39389123675197535
tfprod-req000098-00e89186,176,20,72,2,down,overcomplete_2x,0.14233027706991475
tfprod-req000098-00e89186,176,20,72,2,down,pca,0.09942019050935415
tfprod-req000098-00e89186,176,20,72,2,down,progressive_best,0.5005641029512741
tfprod-req000098-00e89186,176,20,72,2,down,random,0.49802812755682746
tfprod-req000098-00e89186,176,20,72,2,down,two_view_oracle,0.09566025464706829
tfprod-req000098-00e89186,176,20,72,2,gate,generalized,0.7643081082768779
tfprod-req000098-00e89186,176,20,72,2,gate,learned_s11,0.7975549087785407
tfprod-req000098-00e89186,176,20,72,2,gate,learned_s29,0.7810134185548544
tfprod-req000098-00e89186,176,20,72,2,gate,learned_s47,0.7603614208344102
tfprod-req000098-00e89186,176,20,72,2,gate,native,0.4166798316118811
tfprod-req000098-00e89186,176,20,72,2,gate,overcomplete_2x,0.767437629186362
tfprod-req000098-00e89186,176,20,72,2,gate,pca,0.7724480753140912
tfprod-req000098-00e89186,176,20,72,2,gate,progressive_best,0.7650920637175871
tfprod-req000098-00e89186,176,20,72,2,gate,random,0.17242650554983072
tfprod-req000098-00e89186,176,20,72,2,gate,two_view_oracle,0.7895115127628507
tfprod-req000098-00e89186,176,20,72,2,up,generalized,0.6491948400192908
tfprod-req000098-00e89186,176,20,72,2,up,learned_s11,0.6912963370902001
tfprod-req000098-00e89186,176,20,72,2,up,learned_s29,0.6824147138870444
tfprod-req000098-00e89186,176,20,72,2,up,learned_s47,0.6493290430860146
tfprod-req000098-00e89186,176,20,72,2,up,native,0.19730666225809323
tfprod-req000098-00e89186,176,20,72,2,up,overcomplete_2x,0.6271792472405449
tfprod-req000098-00e89186,176,20,72,2,up,pca,0.6315875879314465
tfprod-req000098-00e89186,176,20,72,2,up,progressive_best,0.6595474792365573
tfprod-req000098-00e89186,176,20,72,2,up,random,0.13115917676251665
tfprod-req000098-00e89186,176,20,72,2,up,two_view_oracle,0.6855603355561259
tfprod-req000098-00e89186,176,20,148,4,down,generalized,0.4921104279525702
tfprod-req000098-00e89186,176,20,148,4,down,learned_s11,0.6559593212417637
tfprod-req000098-00e89186,176,20,148,4,down,learned_s29,0.6876017881224575
tfprod-req000098-00e89186,176,20,148,4,down,learned_s47,0.4005920786368353
tfprod-req000098-00e89186,176,20,148,4,down,native,0.509815590517305
tfprod-req000098-00e89186,176,20,148,4,down,overcomplete_2x,0.48017355625728525
tfprod-req000098-00e89186,176,20,148,4,down,pca,0.6051389821415728
tfprod-req000098-00e89186,176,20,148,4,down,progressive_best,0.5574511952217636
tfprod-req000098-00e89186,176,20,148,4,down,random,0.3327436403957355
tfprod-req000098-00e89186,176,20,148,4,down,two_view_oracle,0.6172203316034347
tfprod-req000098-00e89186,176,20,148,4,gate,generalized,0.7865373546262523
tfprod-req000098-00e89186,176,20,148,4,gate,learned_s11,0.8044760534141895
tfprod-req000098-00e89186,176,20,148,4,gate,learned_s29,0.8022593198232816
tfprod-req000098-00e89186,176,20,148,4,gate,learned_s47,0.7800241267200334
tfprod-req000098-00e89186,176,20,148,4,gate,native,0.41706184223662846
tfprod-req000098-00e89186,176,20,148,4,gate,overcomplete_2x,0.7730149087922388
tfprod-req000098-00e89186,176,20,148,4,gate,pca,0.7841089708545173
tfprod-req000098-00e89186,176,20,148,4,gate,progressive_best,0.7798759325747138
tfprod-req000098-00e89186,176,20,148,4,gate,random,0.23745081447279381
tfprod-req000098-00e89186,176,20,148,4,gate,two_view_oracle,0.7994674745882395
tfprod-req000098-00e89186,176,20,148,4,up,generalized,0.6825326003199229
tfprod-req000098-00e89186,176,20,148,4,up,learned_s11,0.7150118317038988
tfprod-req000098-00e89186,176,20,148,4,up,learned_s29,0.7232438698519544
tfprod-req000098-00e89186,176,20,148,4,up,learned_s47,0.6802859258633602
tfprod-req000098-00e89186,176,20,148,4,up,native,0.3070303698337251
tfprod-req000098-00e89186,176,20,148,4,up,overcomplete_2x,0.6702056067794162
tfprod-req000098-00e89186,176,20,148,4,up,pca,0.6951782290695917
tfprod-req000098-00e89186,176,20,148,4,up,progressive_best,0.6909558766480807
tfprod-req000098-00e89186,176,20,148,4,up,random,0.17303888283974478
tfprod-req000098-00e89186,176,20,148,4,up,two_view_oracle,0.7083781173521998
tfprod-req000098-00e89186,176,39,70,4,down,generalized,0.6146140837443379
tfprod-req000098-00e89186,176,39,70,4,down,learned_s11,0.5549427592096439
tfprod-req000098-00e89186,176,39,70,4,down,learned_s29,0.7023794414270315
tfprod-req000098-00e89186,176,39,70,4,down,learned_s47,0.6825813550592075
tfprod-req000098-00e89186,176,39,70,4,down,native,0.15173518597021446
tfprod-req000098-00e89186,176,39,70,4,down,overcomplete_2x,0.6005403566416427
tfprod-req000098-00e89186,176,39,70,4,down,pca,0.5958646533360954
tfprod-req000098-00e89186,176,39,70,4,down,progressive_best,0.15648297573934636
tfprod-req000098-00e89186,176,39,70,4,down,random,0.16676547158352087
